iter	Passed	Remaining
0	200	200337
1	268	133755
2	346	115318
3	404	100658
4	471	93907
5	550	91123
6	629	89352
7	699	86749
8	761	83804
9	823	81487
10	889	79990
11	957	78864
12	1041	79052
13	1106	77910
14	1158	76044
15	1230	75672
16	1293	74770
17	1367	74625
18	1433	73990
19	1488	72931
20	1565	72999
21	1640	72925
22	1693	71956
23	1751	71212
24	1830	71370
25	1903	71296
26	1963	70765
27	2025	70322
28	2085	69831
29	2139	69168
30	2203	68879
31	2268	68611
32	2326	68172
33	2397	68112
34	2467	68033
35	2524	67613
36	2591	67448
37	2651	67122
38	2722	67073
39	2791	66990
40	2855	66783
41	2912	66423
42	2975	66223
43	3036	65982
44	3090	65593
45	3144	65221
46	3216	65212
47	3276	64991
48	3339	64804
49	3398	64576
50	3452	64236
51	3503	63877
52	3563	63667
53	3612	63282
54	3666	62989
55	3715	62634
56	3771	62394
57	3833	62255
58	3878	61857
59	3931	61596
60	3984	61330
61	4043	61177
62	4099	60967
63	4148	60671
64	4201	60437
65	4255	60227
66	4309	60005
67	4368	59867
68	4421	59664
69	4474	59451
70	4530	59276
71	4601	59311
72	4654	59100
73	4704	58871
74	4770	58836
75	4831	58735
76	4900	58740
77	4955	58574
78	5013	58451
79	5081	58440
80	5135	58266
81	5193	58136
82	5245	57956
83	5301	57811
84	5364	57742
85	5420	57608
86	5478	57491
87	5542	57435
88	5608	57410
89	5675	57385
90	5722	57159
91	5781	57059
92	5854	57101
93	5919	57052
94	5979	56960
95	6030	56783
96	6089	56690
97	6138	56497
98	6189	56333
99	6247	56228
100	6303	56106
101	6360	56000
102	6413	55852
103	6476	55800
104	6533	55687
105	6592	55602
106	6655	55546
107	6714	55454
108	6766	55309
109	6821	55188
110	6871	55032
111	6941	55033
112	7002	54967
113	7058	54855
114	7123	54819
115	7180	54720
116	7251	54723
117	7311	54647
118	7383	54664
119	7453	54658
120	7512	54572
121	7589	54620
122	7666	54665
123	7717	54520
124	7774	54424
125	7854	54480
126	7924	54472
127	7980	54365
128	8040	54285
129	8110	54274
130	8163	54152
131	8223	54078
132	8279	53973
133	8342	53914
134	8419	53947
135	8470	53810
136	8530	53734
137	8605	53752
138	8675	53736
139	8745	53723
140	8806	53651
141	8884	53683
142	8956	53674
143	9011	53570
144	9070	53483
145	9136	53442
146	9194	53353
147	9251	53255
148	9309	53170
149	9366	53077
150	9415	52940
151	9471	52840
152	9535	52790
153	9600	52738
154	9653	52626
155	9705	52507
156	9768	52453
157	9824	52357
158	9878	52252
159	9937	52171
160	10012	52174
161	10065	52066
162	10120	51965
163	10184	51913
164	10243	51838
165	10299	51747
166	10355	51651
167	10408	51544
168	10462	51446
169	10518	51354
170	10591	51347
171	10648	51259
172	10702	51160
173	10763	51097
174	10830	51057
175	10901	51040
176	10951	50922
177	11003	50814
178	11067	50762
179	11132	50716
180	11187	50621
181	11242	50527
182	11293	50419
183	11346	50318
184	11399	50218
185	11458	50148
186	11514	50060
187	11579	50011
188	11638	49940
189	11691	49844
190	11749	49765
191	11808	49694
192	11872	49643
193	11923	49537
194	11982	49464
195	12040	49388
196	12090	49284
197	12138	49166
198	12199	49105
199	12258	49034
200	12310	48934
201	12359	48824
202	12409	48720
203	12463	48634
204	12514	48531
205	12592	48535
206	12649	48458
207	12698	48350
208	12752	48265
209	12817	48218
210	12875	48144
211	12924	48039
212	12991	48000
213	13044	47912
214	13109	47863
215	13171	47809
216	13225	47720
217	13282	47645
218	13341	47579
219	13398	47503
220	13452	47419
221	13516	47367
222	13570	47285
223	13633	47231
224	13691	47160
225	13753	47103
226	13799	46990
227	13866	46952
228	13932	46909
229	13992	46845
230	14047	46765
231	14100	46676
232	14152	46586
233	14197	46474
234	14242	46365
235	14301	46297
236	14351	46202
237	14407	46127
238	14468	46068
239	14523	45991
240	14587	45941
241	14651	45891
242	14696	45783
243	14758	45727
244	14820	45671
245	14876	45595
246	14931	45520
247	14995	45469
248	15038	45358
249	15088	45264
250	15135	45165
251	15192	45096
252	15246	45015
253	15301	44940
254	15354	44858
255	15411	44788
256	15468	44720
257	15518	44631
258	15578	44571
259	15650	44542
260	15712	44489
261	15767	44413
262	15812	44311
263	15889	44297
264	15931	44186
265	15985	44110
266	16039	44034
